CN8 Koodi;CN8 Nimike;Tuonti Pohjois-Amerikka 2022;Vienti Pohjois-Amerikka 2022
01012100;(2012--.) Puhdasrotuiset siitoshevoset;0;0
01012910;(2012--.) Teuraseläimiksi tarkoitetut hevoset;0;0
01012990;(2012--.) Elävät hevoset (paitsi teuraseläimet ja siitoseläimet);0;0
01013000;(2012--.) Elävät aasit;0;0
01019000;(2012--.) Elävät muulit ja muuliaasit;0;0
01022110;(2012--.) Puhdasrotuiset, siitoseläimiksi tarkoitetut hiehot *naaraspuoliset siitoseläimiksi tarkoitetut nautaeläimet, jotka eivät ole koskaan poikineet*;0;0
01022130;(2012--.) Puhdasrotuiset, siitoseläimiksi tarkoitetut lehmät (paitsi hiehot);0;0
01022190;(2012--.) Puhdasrotuiset, siitoseläimiksi tarkoitetut nautaeläimet (paitsi hiehot ja lehmät);0;0
01022905;(2013--.) Elävät nautaeläimet *Bibos*- tai *Poephagus*-alasukua (paitsi lehmät, puhvelit, kotieläinlajia olevat ja siitoseläimiksi tarkoitetut);0;0
01022910;(2012--.) Elävät nautaeläimet, joiden paino on<= 80 kg (paitsi puhdasrotuiset siitoseläimet);0;0
01022921;(2012--.) Elävät nautaeläimet, joiden paino on > 80 kg mutta <= 160 kg, teuraseläimiksi tarkoitetut;0;0
01022929;(2012--.) Elävät nautaeläimet, joiden paino on > 80 kg mutta <= 160 kg (paitsi teuraseläimet ja puhdasrotuiset siitoseläimet);0;0
01022941;(2012--.) Nautaeläimet, joiden paino on> 160 kg mutta <= 300 kg, teuraseläimiksi tarkoitetut;0;0
01022949;(2012--.) Elävät nautaeläimet, joiden paino on > 160 kg mutta <= 300 kg (paitsi teuraseläimet ja puhdasrotuiset siitoseläimet);0;0
01022951;(2012--.) Hiehot *naaraspuoliset, kotieläinlajia olevat nautaeläimet, jotka eivät ole koskaan poikineet*, joiden paino on > 300 kg, teuraseläimiksi tarkoitetut;0;0
