Havaintoasema;Päivä.Kuukausi.Vuosi Aika [Paikallinen aika];Keskituulen nopeus [m/s]
Helsinki-Vantaan lentoasema;19.12.2022 00:00;5.9
Helsinki-Vantaan lentoasema;19.12.2022 00:01;5.8
Helsinki-Vantaan lentoasema;19.12.2022 00:02;5.8
Helsinki-Vantaan lentoasema;19.12.2022 00:03;5.5
Helsinki-Vantaan lentoasema;19.12.2022 00:04;5.4
Helsinki-Vantaan lentoasema;19.12.2022 00:05;5.3
Helsinki-Vantaan lentoasema;19.12.2022 00:06;5.4
Helsinki-Vantaan lentoasema;19.12.2022 00:07;5.5
Helsinki-Vantaan lentoasema;19.12.2022 00:08;5.6
Helsinki-Vantaan lentoasema;19.12.2022 00:09;5.4
Helsinki-Vantaan lentoasema;19.12.2022 00:10;5.5
Helsinki-Vantaan lentoasema;19.12.2022 00:11;5.6
Helsinki-Vantaan lentoasema;19.12.2022 00:12;5.7
Helsinki-Vantaan lentoasema;19.12.2022 00:13;5.7
Helsinki-Vantaan lentoasema;19.12.2022 00:14;5.7
Helsinki-Vantaan lentoasema;19.12.2022 00:15;5.7
Helsinki-Vantaan lentoasema;19.12.2022 00:16;5.7
Helsinki-Vantaan lentoasema;19.12.2022 00:17;5.6
Helsinki-Vantaan lentoasema;19.12.2022 00:18;5.7
Helsinki-Vantaan lentoasema;19.12.2022 00:19;5.9
Helsinki-Vantaan lentoasema;19.12.2022 00:20;6
Helsinki-Vantaan lentoasema;19.12.2022 00:21;5.9
Helsinki-Vantaan lentoasema;19.12.2022 00:22;5.7
Helsinki-Vantaan lentoasema;19.12.2022 00:23;5.7
Helsinki-Vantaan lentoasema;19.12.2022 00:24;5.8
Helsinki-Vantaan lentoasema;19.12.2022 00:25;5.8
Helsinki-Vantaan lentoasema;19.12.2022 00:26;5.8
Helsinki-Vantaan lentoasema;19.12.2022 00:27;5.8
Helsinki-Vantaan lentoasema;19.12.2022 00:28;5.7
Helsinki-Vantaan lentoasema;19.12.2022 00:29;5.6
Helsinki-Vantaan lentoasema;19.12.2022 00:30;5.5
Helsinki-Vantaan lentoasema;19.12.2022 00:31;5.4
Helsinki-Vantaan lentoasema;19.12.2022 00:32;5.5
Helsinki-Vantaan lentoasema;19.12.2022 00:33;5.4
Helsinki-Vantaan lentoasema;19.12.2022 00:34;5.5
Helsinki-Vantaan lentoasema;19.12.2022 00:35;5.4
Helsinki-Vantaan lentoasema;19.12.2022 00:36;5.4
Helsinki-Vantaan lentoasema;19.12.2022 00:37;5.4
Helsinki-Vantaan lentoasema;19.12.2022 00:38;5.4
Helsinki-Vantaan lentoasema;19.12.2022 00:39;5.2
Helsinki-Vantaan lentoasema;19.12.2022 00:40;5.2
Helsinki-Vantaan lentoasema;19.12.2022 00:41;5.1
Helsinki-Vantaan lentoasema;19.12.2022 00:42;5.1
Helsinki-Vantaan lentoasema;19.12.2022 00:43;5.2
Helsinki-Vantaan lentoasema;19.12.2022 00:44;5.1
Helsinki-Vantaan lentoasema;19.12.2022 00:45;5.1
Helsinki-Vantaan lentoasema;19.12.2022 00:46;5
Helsinki-Vantaan lentoasema;19.12.2022 00:47;5
Helsinki-Vantaan lentoasema;19.12.2022 00:48;5
Helsinki-Vantaan lentoasema;19.12.2022 00:49;5.1
Helsinki-Vantaan lentoasema;19.12.2022 00:50;5.1
Helsinki-Vantaan lentoasema;19.12.2022 00:51;5.1
Helsinki-Vantaan lentoasema;19.12.2022 00:52;5.1
Helsinki-Vantaan lentoasema;19.12.2022 00:53;5
Helsinki-Vantaan lentoasema;19.12.2022 00:54;5
Helsinki-Vantaan lentoasema;19.12.2022 00:55;4.9
Helsinki-Vantaan lentoasema;19.12.2022 00:56;4.9
Helsinki-Vantaan lentoasema;19.12.2022 00:57;4.8
Helsinki-Vantaan lentoasema;19.12.2022 00:58;4.8
Helsinki-Vantaan lentoasema;19.12.2022 00:59;4.8
Helsinki-Vantaan lentoasema;19.12.2022 01:00;4.8
Helsinki-Vantaan lentoasema;19.12.2022 01:01;4.9
Helsinki-Vantaan lentoasema;19.12.2022 01:02;5
Helsinki-Vantaan lentoasema;19.12.2022 01:03;5.2
Helsinki-Vantaan lentoasema;19.12.2022 01:04;5.4
Helsinki-Vantaan lentoasema;19.12.2022 01:05;5.5
Helsinki-Vantaan lentoasema;19.12.2022 01:06;5.6
Helsinki-Vantaan lentoasema;19.12.2022 01:07;5.6
Helsinki-Vantaan lentoasema;19.12.2022 01:08;5.7
Helsinki-Vantaan lentoasema;19.12.2022 01:09;5.6
Helsinki-Vantaan lentoasema;19.12.2022 01:10;5.7
Helsinki-Vantaan lentoasema;19.12.2022 01:11;5.7
Helsinki-Vantaan lentoasema;19.12.2022 01:12;5.7
Helsinki-Vantaan lentoasema;19.12.2022 01:13;5.6
Helsinki-Vantaan lentoasema;19.12.2022 01:14;5.5
Helsinki-Vantaan lentoasema;19.12.2022 01:15;5.5
Helsinki-Vantaan lentoasema;19.12.2022 01:16;5.4
Helsinki-Vantaan lentoasema;19.12.2022 01:17;5.4
Helsinki-Vantaan lentoasema;19.12.2022 01:18;5.4
Helsinki-Vantaan lentoasema;19.12.2022 01:19;5.4
Helsinki-Vantaan lentoasema;19.12.2022 01:20;5.5
Helsinki-Vantaan lentoasema;19.12.2022 01:21;5.5
Helsinki-Vantaan lentoasema;19.12.2022 01:22;5.4
Helsinki-Vantaan lentoasema;19.12.2022 01:23;5.3
Helsinki-Vantaan lentoasema;19.12.2022 01:24;5.3
Helsinki-Vantaan lentoasema;19.12.2022 01:25;5.3
Helsinki-Vantaan lentoasema;19.12.2022 01:26;5.3
Helsinki-Vantaan lentoasema;19.12.2022 01:27;5.4
Helsinki-Vantaan lentoasema;19.12.2022 01:28;5.2
Helsinki-Vantaan lentoasema;19.12.2022 01:29;5.2
Helsinki-Vantaan lentoasema;19.12.2022 01:30;5
Helsinki-Vantaan lentoasema;19.12.2022 01:31;4.8
Helsinki-Vantaan lentoasema;19.12.2022 01:32;4.8
Helsinki-Vantaan lentoasema;19.12.2022 01:33;4.6
Helsinki-Vantaan lentoasema;19.12.2022 01:34;4.5
Helsinki-Vantaan lentoasema;19.12.2022 01:35;4.5
Helsinki-Vantaan lentoasema;19.12.2022 01:36;4.5
Helsinki-Vantaan lentoasema;19.12.2022 01:37;4.5
Helsinki-Vantaan lentoasema;19.12.2022 01:38;4.6
Helsinki-Vantaan lentoasema;19.12.2022 01:39;4.6
Helsinki-Vantaan lentoasema;19.12.2022 01:40;4.6
Helsinki-Vantaan lentoasema;19.12.2022 01:41;4.6
Helsinki-Vantaan lentoasema;19.12.2022 01:42;4.6
Helsinki-Vantaan lentoasema;19.12.2022 01:43;4.6
Helsinki-Vantaan lentoasema;19.12.2022 01:44;4.6
Helsinki-Vantaan lentoasema;19.12.2022 01:45;4.6
Helsinki-Vantaan lentoasema;19.12.2022 01:46;4.5
Helsinki-Vantaan lentoasema;19.12.2022 01:47;4.4
Helsinki-Vantaan lentoasema;19.12.2022 01:48;4.3
Helsinki-Vantaan lentoasema;19.12.2022 01:49;4.4
Helsinki-Vantaan lentoasema;19.12.2022 01:50;4.4
Helsinki-Vantaan lentoasema;19.12.2022 01:51;4.5
Helsinki-Vantaan lentoasema;19.12.2022 01:52;4.4
Helsinki-Vantaan lentoasema;19.12.2022 01:53;4.3
Helsinki-Vantaan lentoasema;19.12.2022 01:54;4.4
Helsinki-Vantaan lentoasema;19.12.2022 01:55;4.4
Helsinki-Vantaan lentoasema;19.12.2022 01:56;4.4
Helsinki-Vantaan lentoasema;19.12.2022 01:57;4.4
Helsinki-Vantaan lentoasema;19.12.2022 01:58;4.4
Helsinki-Vantaan lentoasema;19.12.2022 01:59;4.3
Helsinki-Vantaan lentoasema;19.12.2022 02:00;4.3
Helsinki-Vantaan lentoasema;19.12.2022 02:01;4.2
Helsinki-Vantaan lentoasema;19.12.2022 02:02;4.2
Helsinki-Vantaan lentoasema;19.12.2022 02:03;4.2
Helsinki-Vantaan lentoasema;19.12.2022 02:04;4.2
Helsinki-Vantaan lentoasema;19.12.2022 02:05;4.2
Helsinki-Vantaan lentoasema;19.12.2022 02:06;4.3
