Sessio;Hahmo;Heiton syy;Noppien määrä;Noppa;Heitot
2.1;N/A;Muu;1;d4;1
2.1;Fenian;Aloite;1;d20;17
2.1;Edea;Aloite;1;d20;2
2.1;Edea;Monistuminen;1;d20;8
2.1;Edea;Hyökkäys;1;d20;6
2.1;Fenian;Vahinko;5;d6;1,1,2,2,3
2.1;Fenian;Viisauden pelastusheitto;1;d20;10
2.1;Edea;Hyökkäys;1;d20;6
2.1;Fenian;Hyökkäys;1;d20;11
2.1;Fenian;Vahinko;1;d8;7
2.1;Edea;Hyökkäys;1;d20;2
2.1;Fenian;Hyökkäys;2;d20;19, 18
2.1;Fenian;Vahinko;2;d8;5, 5
2.1;Edea;Hyökkäys;1;d20;12
2.1;Fenian;Sitkeyden pelastusheitto;1;d20;11
2.1;Fenian;Hyökkäys;2;d20;1, 20
2.1;Fenian;Hyökkäys;2;d20;13, 19
2.1;Fenian;Vahinko;1;d8;2
2.1;Edea;Hyökkäys;1;d20;9
2.1;Fenian;Sitkeyden pelastusheitto;1;d20;19
2.1;Fenian;Hyökkäys;2;d20;4, 16
2.1;Fenian;Vahinko;1;d8;3
2.1;Fenian;Luonto;1;d20;10
2.1;Fenian;Hiipiminen;1;d20;8
2.1;Fenian;Hiipiminen;1;d20;12
2.1;Fenian;Aloite;1;d20;1
2.1;Edea;Aloite;1;d20;13
2.1;Edea;Monistuminen;1;d20;10
2.1;Edea;Hyökkäys;1;d20;5
2.1;Fenian;Hyökkäys;2;d20;17, 15
2.1;Fenian;Vahinko;2;d8;1, 5
2.1;Fenian;Hyökkäys;2;d20;11, 16
2.1;Fenian;Vahinko;2;d8;5, 4
2.1;Fenian;Hiipiminen;1;d20;9
2.1;Fenian;Ketteryyden pelastusheitto;1;d20;2
2.1;Fenian;Ketteryyden pelastusheitto;1;d20;2
2.1;Fenian;Ketteryyden pelastusheitto;1;d20;9
2.1;Fenian;Sitkeyden pelastusheitto;1;d20;5
2.1;Fenian;Suunta;1;d8;4
2.1;Fenian;Ketteryyden pelastusheitto;1;d20;15
2.1;Fenian;Ketteryyden pelastusheitto;2;d20;2, 20
2.1;Fenian;Urheilu;1;d20;16
2.1;Fenian;Ketteryyden pelastusheitto;1;d20;1
2.1;Fenian;Muu;1;d6;4
2.1;Fenian;Muu;1;d10;3
2.1;Fenian;Suunta;1;d8;1
2.1;Fenian;Ketteryyden pelastusheitto;1;d20;3
2.1;Fenian;Sitkeyden pelastusheitto;1;d20;10
2.1;Fenian;Urheilu;1;d20;20
2.1;Fenian;Urheilu;2;d20;5, 20
2.1;Fenian;Ketteryyden pelastusheitto;1;d20;11
