Sessio;Hahmo;Noppien määrä;Noppa;Noppien silmäluvut
2.2;Jaska;1;d2 ;2
2.2;Jaska;2;d2 ;1,2
2.3;Julia;1;d2 ;1
3.4;Jaska;1;d4 ;4
3.4;Jaska;1;d4 ;4
2.1;Jaska;5;d6 ;1,1,2,2,3
2.1;Jaska;1;d6 ;4
2.2;Julia;1;d6 ;3
2.4;Olavi;8;d6 ;5,5,5,4,2,3,3,3
2.4;Olavi;2;d6 ;4,2
2.4;Olavi;2;d6 ;6,5
2.4;Olavi;1;d6 ;3
2.4;Olavi;1;d6 ;5
2.4;Olavi;1;d6 ;6
2.4;Olavi;6;d6 ;1,1,2,3,4,6
3.1;Julia;1;d6 ;4
3.1;Jaska;5;d6 ;6,6,2,5,1
3.1;Jaska;1;d6 ;5
3.1;Jaska;2;d6 ;1,2
3.1;Säkki;1;d6 ;4
3.1;Julia;1;d6 ;2
3.2;Jaska;5;d6 ;2, 4, 4, 5, 5
3.4;Jaska;1;d6 ;3
2.1;Jaska;1;d8 ;7
2.1;Jaska;2;d8 ;5, 5
2.1;Jaska;1;d8 ;2
2.1;Jaska;1;d8 ;3
2.1;Jaska;2;d8 ;1, 5
2.1;Jaska;2;d8 ;5, 4
2.1;Jaska;1;d8 ;4
2.1;Jaska;1;d8 ;1
2.2;Jaska;1;d8 ;8
2.2;Jaska;1;d8 ;2
2.2;Jaska;1;d8 ;5
2.2;Jaska;1;d8 ;2
2.2;Jaska;2;d8 ;5, 1
2.3;Jaska;1;d8 ;8
2.3;Jaska;1;d8 ;5
2.4;Olavi;2;d8 ;4,4
2.4;Olavi;2;d8 ;5,8
2.4;Olavi;2;d8 ;4,5
2.4;Olavi;2;d8 ;6,1
2.4;Olavi;1;d8 ;3,3
2.4;Olavi;2;d8 ;1,2
2.4;Olavi;2;d8 ;3,3
3.1;Julia;1;d8 ;6
3.1;Jaska;2;d8 ;2,3
3.1;Jaska;1;d8 ;5
3.1;Jaska;1;d8 ;7
3.1;Jaska;1;d8 ;1
3.1;Jaska;1;d8 ;3
3.2;Jaska;1;d8 ;7
3.2;Jaska;1;d8 ;6
3.2;Julia;1;d8 ;6
3.2;Jaska;2;d8 ;6, 4
3.2;Julia;1;d8 ;3
3.4;Jaska;2;d8 ;3, 7
3.4;Jaska;1;d8 ;4
3.4;Jaska;1;d8 ;2
3.4;Jaska;1;d8 ;8
3.4;Jaska;1;d8 ;7
3.4;Jaska;2;d8 ;1, 8
3.4;Jaska;1;d8 ;8
3.4;Jaska;1;d8 ;5
3.4;Jaska;2;d8 ;1, 8
3.4;Jaska;1;d8 ;1
3.4;Jaska;1;d8 ;1
3.4;Jaska;1;d8 ;2
3.4;Jaska;1;d8 ;5
3.4;Jaska;1;d8 ;1
3.4;Jaska;2;d8 ;6, 8
2.1;Jaska;1;d10;3
2.1;Jaska;7;d10;6,8,6,8,3,5,7
2.2;Jaska;2;d10;1, 10
3.1;Jaska;1;d10;8
3.1;Jaska;2;d10;2, 1
2.1;Jaska;1;d20;17
2.1;Julia;1;d20;2
2.1;Julia;1;d20;8
2.1;Julia;1;d20;6
2.1;Jaska;1;d20;10
2.1;Julia;1;d20;6
2.1;Jaska;1;d20;11
2.1;Julia;1;d20;2
2.1;Jaska;2;d20;19, 18
2.1;Julia;1;d20;12
2.1;Jaska;1;d20;11
2.1;Jaska;2;d20;1, 20
2.1;Jaska;2;d20;13, 19
2.1;Julia;1;d20;9
2.1;Jaska;1;d20;19
2.1;Jaska;2;d20;4, 16
2.1;Jaska;1;d20;10
2.1;Jaska;1;d20;8
2.1;Jaska;1;d20;12
2.1;Jaska;1;d20;1
2.1;Julia;1;d20;13
2.1;Julia;1;d20;10
2.1;Julia;1;d20;5
2.1;Jaska;2;d20;17, 15
2.1;Jaska;2;d20;11, 16
2.1;Jaska;1;d20;9
2.1;Jaska;1;d20;2
2.1;Jaska;1;d20;2
2.1;Jaska;1;d20;9
2.1;Jaska;1;d20;5
2.1;Jaska;1;d20;15
2.1;Jaska;2;d20;2, 20
2.1;Jaska;1;d20;16
2.1;Jaska;1;d20;1
2.1;Jaska;1;d20;3
2.1;Jaska;1;d20;10
2.1;Jaska;1;d20;20
2.1;Jaska;2;d20;5, 20
2.1;Jaska;1;d20;11
2.1;Jaska;2;d20;17, 20
2.1;Jaska;1;d20;10
2.1;Jaska;1;d20;12
2.1;Jaska;1;d20;6
2.1;Jaska;1;d20;3
2.1;Jaska;1;d20;4
2.1;Jaska;1;d20;17
2.2;Jaska;1;d20;15
2.2;Jaska;1;d20;5
2.2;Jaska;1;d20;4
2.2;Jaska;1;d20;5
2.2;Jaska;1;d20;19
2.2;Jaska;1;d20;20
2.2;Jaska;1;d20;8
2.2;Jaska;1;d20;12
2.2;Jaska;1;d20;9
2.2;Julia;1;d20;19
2.2;Jaska;1;d20;13
2.2;Jaska;2;d20;7, 2
2.2;Jaska;2;d20;8, 20
2.2;Julia;1;d20;13
2.2;Julia;1;d20;14
2.2;Julia;1;d20;9
2.2;Jaska;2;d20;1, 17
2.2;Jaska;1;d20;11
2.2;Jaska;2;d20;4, 6
2.2;Jaska;1;d20;14
2.2;Jaska;2;d20;2, 17
2.2;Jaska;1;d20;14
2.2;Jaska;2;d20;4, 17
2.2;Jaska;2;d20;7, 7
2.2;Jaska;1;d20;3
2.2;Jaska;1;d20;17
2.2;Jaska;1;d20;15
2.2;Jaska;1;d20;19
2.2;Jaska;1;d20;17
2.2;Jaska;1;d20;8
2.2;Jaska;1;d20;2
2.2;Jaska;1;d20;9
2.2;Jaska;1;d20;19
2.3;Jaska;1;d20;9
2.3;Jaska;1;d20;16
2.3;Jaska;1;d20;9
2.3;Jaska;2;d20;1, 12
2.3;Jaska;2;d20;5, 14
2.4;Olavi;1;d20;3
2.4;Olavi;1;d20;18
2.4;Olavi;1;d20;14,2
2.4;Olavi;1;d20;10
2.4;Olavi;1;d20;10
2.4;Olavi;1;d20;15
2.4;Olavi;1;d20;16
2.4;Olavi;1;d20;15
2.4;Olavi;1;d20;18
2.4;Olavi;1;d20;20
2.4;Olavi;1;d20;5
2.4;Olavi;1;d20;11
2.4;Olavi;2;d20;12,13
2.4;Olavi;1;d20;13
2.4;Olavi;1;d20;15
2.4;Olavi;2;d20;2,12
2.4;Olavi;1;d20;9
2.4;Jaska;1;d20;16
2.4;Jaska;2;d20;15,2
2.4;Jaska;1;d20;2
3.1;Jaska;1;d20;13
3.1;Jaska;1;d20;10
3.1;Jaska;1;d20;14
3.1;Jaska;1;d20;9
3.1;Julia;1;d20;4
3.1;Julia;1;d20;11
3.1;Julia;1;d20;11
3.1;Jaska;2;d20;5, 13
3.1;Julia;1;d20;19
3.1;Julia;1;d20;13
3.1;Jaska;2;d20;6, 13
3.1;Julia;1;d20;11
3.1;Jaska;2;d20;13, 10
3.1;Jaska;1;d20;16
3.1;Säkki;1;d20;13
3.1;Julia;1;d20;17
3.1;Julia;1;d20;3
3.1;Jaska;2;d20;20, 8
3.1;Jaska;1;d20;15
3.1;Julia;1;d20;12
3.1;Jaska;2;d20;19, 3
3.1;Jaska;1;d20;18
3.1;Jaska;1;d20;6
3.2;Jaska;1;d20;2
3.2;Jaska;1;d20;20
3.2;Jaska;2;d20;5,15
3.2;Jaska;1;d20;8
3.2;Jaska;2;d20;12,15
3.2;Jaska;1;d20;9
3.2;Jaska;2;d20;12, 20
3.2;Jaska;1;d20;6
3.2;Jaska;2;d20;2, 6
3.2;Jaska;1;d20;18
3.2;Jaska;2;d20;14, 17
3.2;Jaska;1;d20;11
3.2;Jaska;2;d20;16, 17
3.2;Jaska;1;d20;5
3.2;Jaska;1;d20;17
3.2;Jaska;2;d20;6, 13
3.2;Jaska;1;d20;3
3.2;Jaska;2;d20;8, 15
3.2;Jaska;1;d20;11
3.2;Jaska;1;d20;13
3.2;Jaska;1;d20;4
3.2;Jaska;1;d20;1
3.2;Julia;1;d20;4
3.2;Jaska;2;d20;1, 6
3.2;Jaska;1;d20;2
3.2;Jaska;1;d20;2
3.2;Säkki;1;d20;5
3.2;Jaska;1;d20;11
3.2;Jaska;2;d20;5, 16
