toimipaikka;osasto;vuosi;kuukausi;kävijöitä
Hakunilan kirjasto;;2007;1;16122
Hakunilan kirjasto;;2007;2;14696
Hakunilan kirjasto;;2007;3;16465
Hakunilan kirjasto;;2007;4;13950
Hakunilan kirjasto;;2007;5;14920
Hakunilan kirjasto;;2007;6;12484
Hakunilan kirjasto;;2007;7;12056
Hakunilan kirjasto;;2007;8;16757
Hakunilan kirjasto;;2007;9;16645
Hakunilan kirjasto;;2007;10;19935
Hakunilan kirjasto;;2007;11;17810
Hakunilan kirjasto;;2007;12;13250
Länsimäen kirjasto;;2007;1;6795
Länsimäen kirjasto;;2007;2;5482
Länsimäen kirjasto;;2007;3;8018
Länsimäen kirjasto;;2007;4;5659
Länsimäen kirjasto;;2007;5;6193
Länsimäen kirjasto;;2007;6;5138
Länsimäen kirjasto;;2007;7;5914
Länsimäen kirjasto;;2007;8;6535
Länsimäen kirjasto;;2007;9;6589
Länsimäen kirjasto;;2007;10;7560
Länsimäen kirjasto;;2007;11;7303
Länsimäen kirjasto;;2007;12;5217
Tikkurilan kirjasto;aikuiset;2007;1;23612
Tikkurilan kirjasto;aikuiset;2007;2;21747
Tikkurilan kirjasto;aikuiset;2007;3;24267
Tikkurilan kirjasto;aikuiset;2007;4;21286
Tikkurilan kirjasto;aikuiset;2007;5;17832
Tikkurilan kirjasto;aikuiset;2007;6;18432
Tikkurilan kirjasto;aikuiset;2007;7;20159
Tikkurilan kirjasto;aikuiset;2007;8;23388
Tikkurilan kirjasto;aikuiset;2007;9;20299
Tikkurilan kirjasto;aikuiset;2007;10;22478
Tikkurilan kirjasto;aikuiset;2007;11;29460
Tikkurilan kirjasto;aikuiset;2007;12;16784
Tikkurilan kirjasto;musiikki;2007;1;5473
Tikkurilan kirjasto;musiikki;2007;2;5052
Tikkurilan kirjasto;musiikki;2007;3;5653
Tikkurilan kirjasto;musiikki;2007;4;4919
Tikkurilan kirjasto;musiikki;2007;5;4984
Tikkurilan kirjasto;musiikki;2007;6;4034
Tikkurilan kirjasto;musiikki;2007;7;4453
Tikkurilan kirjasto;musiikki;2007;8;4884
Tikkurilan kirjasto;musiikki;2007;9;5334
Tikkurilan kirjasto;musiikki;2007;10;5658
Tikkurilan kirjasto;musiikki;2007;11;5042
Tikkurilan kirjasto;musiikki;2007;12;4146
Tikkurilan kirjasto;lapset;2007;1;14638
Tikkurilan kirjasto;lapset;2007;2;14105
Tikkurilan kirjasto;lapset;2007;3;13990
