"Vuosineljännes";"Postinumero";"Huoneluku";"Lukumäärä";"Neliövuokra (eur/m2)"
"2015Q1";"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki )";"Yksiöt";452;24.26
"2015Q1";"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki )";"Kaksiot";243;18.36
"2015Q1";"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki )";"Kolmiot+";34;13.09
"2015Q1";"00120 Punavuori   (Helsinki )";"Yksiöt";95;21.52
"2015Q1";"00120 Punavuori   (Helsinki )";"Kaksiot";52;14.77
"2015Q1";"00120 Punavuori   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00130 Kaartinkaupunki   (Helsinki )";"Yksiöt";24;27.01
"2015Q1";"00130 Kaartinkaupunki   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00130 Kaartinkaupunki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00140 Kaivopuisto - Ullanlinna   (Helsinki )";"Yksiöt";141;23.26
"2015Q1";"00140 Kaivopuisto - Ullanlinna   (Helsinki )";"Kaksiot";56;15.16
"2015Q1";"00140 Kaivopuisto - Ullanlinna   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00150 Eira - Hernesaari   (Helsinki )";"Yksiöt";299;22.98
"2015Q1";"00150 Eira - Hernesaari   (Helsinki )";"Kaksiot";135;17.84
"2015Q1";"00150 Eira - Hernesaari   (Helsinki )";"Kolmiot+";45;22.40
"2015Q1";"00160 Katajanokka   (Helsinki )";"Yksiöt";45;24.88
"2015Q1";"00160 Katajanokka   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00160 Katajanokka   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00170 Kruununhaka   (Helsinki )";"Yksiöt";104;24.32
"2015Q1";"00170 Kruununhaka   (Helsinki )";"Kaksiot";64;17.24
"2015Q1";"00170 Kruununhaka   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00180 Kamppi - Ruoholahti   (Helsinki )";"Yksiöt";199;22.25
"2015Q1";"00180 Kamppi - Ruoholahti   (Helsinki )";"Kaksiot";154;17.84
"2015Q1";"00180 Kamppi - Ruoholahti   (Helsinki )";"Kolmiot+";82;14.39
"2015Q1";"00200 Lauttasaari   (Helsinki )";"Yksiöt";387;22.63
