Aikaleima;20€ setelien määrä
31.1.2002;1961761
28.2.2002;1925594
31.3.2002;1909862
30.4.2002;1827840
31.5.2002;1801616
30.6.2002;1813166
31.7.2002;1832649
31.8.2002;1814122
30.9.2002;1792756
31.10.2002;1801500
30.11.2002;1774368
31.12.2002;1974764
31.1.2003;1761920
28.2.2003;1757287
31.3.2003;1759296
30.4.2003;1846727
31.5.2003;1849330
30.6.2003;1867735
31.7.2003;1908236
31.8.2003;1896938
30.9.2003;1862586
31.10.2003;1858393
30.11.2003;1857310
31.12.2003;2053751
31.1.2004;1849311
29.2.2004;1850077
31.3.2004;1848264
30.4.2004;1902837
31.5.2004;1945215
30.6.2004;1942781
31.7.2004;2009060
31.8.2004;1966805
30.9.2004;1963047
31.10.2004;1975122
30.11.2004;1950077
31.12.2004;2079432
31.1.2005;1938259
28.2.2005;1931161
31.3.2005;1992884
30.4.2005;1992157
31.5.2005;1994391
30.6.2005;2050118
31.7.2005;2095594
31.8.2005;2046583
30.9.2005;2055431
31.10.2005;2058498
30.11.2005;2039963
31.12.2005;2159677
31.1.2006;2011589
28.2.2006;2021232
31.3.2006;2033479
30.4.2006;2118836
31.5.2006;2102323
30.6.2006;2148613
31.7.2006;2188429
31.8.2006;2156078
30.9.2006;2150794
31.10.2006;2157187
30.11.2006;2139830
31.12.2006;2336569
31.1.2007;2116858
28.2.2007;2119613
31.3.2007;2173023
30.4.2007;2234577
31.5.2007;2244423
30.6.2007;2273632
31.7.2007;2301807
31.8.2007;2294059
30.9.2007;2275821
31.10.2007;2280206
30.11.2007;2256041
31.12.2007;2467677
31.1.2008;2256815
29.2.2008;2253160
31.3.2008;2302586
30.4.2008;2347481
31.5.2008;2334846
30.6.2008;2368693
31.7.2008;2409448
31.8.2008;2395800
30.9.2008;2357980
31.10.2008;2412391
30.11.2008;2396577
31.12.2008;2617915
31.1.2009;2391339
28.2.2009;2379733
31.3.2009;2382950
30.4.2009;2478334
31.5.2009;2498706
30.6.2009;2496894
31.7.2009;2548022
31.8.2009;2512133
30.9.2009;2479416
31.10.2009;2482717
30.11.2009;2474591
31.12.2009;2690209
31.1.2010;2476459
28.2.2010;2465080
31.3.2010;2546820
30.4.2010;2538187
31.5.2010;2581400
30.6.2010;2610567
31.7.2010;2680073
31.8.2010;2633662
30.9.2010;2617714
31.10.2010;2635441
30.11.2010;2612408
31.12.2010;2751808
31.1.2011;2595518
28.2.2011;2586227
31.3.2011;2604138
30.4.2011;2704031
31.5.2011;2700050
30.6.2011;2740603
31.7.2011;2787023
31.8.2011;2732668
30.9.2011;2744079
31.10.2011;2755347
30.11.2011;2713228
31.12.2011;2853452
31.1.2012;2679059
29.2.2012;2665114
31.3.2012;2694988
30.4.2012;2748946
31.5.2012;2786663
30.6.2012;2818802
31.7.2012;2844196
31.8.2012;2835683
30.9.2012;2808356
31.10.2012;2797627
30.11.2012;2769324
31.12.2012;2988384
31.1.2013;2737333
28.2.2013;2720354
31.3.2013;2864221
30.4.2013;2840603
31.5.2013;2845441
30.6.2013;2881374
31.7.2013;2913450
31.8.2013;2921825
30.9.2013;2889467
31.10.2013;2913528
30.11.2013;2882052
31.12.2013;3088833
31.1.2014;2858422
28.2.2014;2862696
31.3.2014;2864870
30.4.2014;2961767
31.5.2014;2981311
30.6.2014;2998754
31.7.2014;3054514
31.8.2014;3056521
30.9.2014;3022577
31.10.2014;3016413
30.11.2014;3016075
31.12.2014;3233284
31.1.2015;3042097
28.2.2015;3030657
31.3.2015;3090464
30.4.2015;3157028
31.5.2015;3171265
30.6.2015;3211760
31.7.2015;3342495
31.8.2015;3301865
30.9.2015;3265115
31.10.2015;3242224
30.11.2015;3241275
31.12.2015;3439563
31.1.2016;3226015
29.2.2016;3219310
31.3.2016;3304455
30.4.2016;3319853
31.5.2016;3363682
30.6.2016;3428847
31.7.2016;3495785
31.8.2016;3451806
30.9.2016;3462361
31.10.2016;3468240
30.11.2016;3429513
31.12.2016;3591542
31.1.2017;3415829
28.2.2017;3424752
31.3.2017;3447663
30.4.2017;3558310
31.5.2017;3558427
30.6.2017;3637199
31.7.2017;3684800
31.8.2017;3678372
30.9.2017;3686163
31.10.2017;3691857
30.11.2017;3635870
31.12.2017;3829512
31.1.2018;3592672
28.2.2018;3591020
31.3.2018;3714495
30.4.2018;3719090
31.5.2018;3741121
30.6.2018;3796700
31.7.2018;3836049
31.8.2018;3844683
30.9.2018;3822518
31.10.2018;3818899
30.11.2018;3795769
31.12.2018;4020475
31.1.2019;3784830
28.2.2019;3787424
31.3.2019;3808400
30.4.2019;3912928
31.5.2019;3913302
30.6.2019;3969752
31.7.2019;4026224
31.8.2019;4010212
30.9.2019;3981379
31.10.2019;3987427
