Kategoria;Päivien lukumäärä:
Kategoria 1;53
Kategoria 2;57
Kategoria 3;40
Kategoria 4;216

Kaikki päivittäiset sademäärät:
Pvm;mm
01.01.2016;0.0
02.01.2016;0.0
03.01.2016;1.9
04.01.2016;0.6
05.01.2016;0.6
06.01.2016;0.0
07.01.2016;0.0
08.01.2016;0.4
09.01.2016;0.7
10.01.2016;0.8
11.01.2016;0.1
12.01.2016;13.2
13.01.2016;1.5
14.01.2016;0.5
15.01.2016;0.2
16.01.2016;0.0
17.01.2016;0.2
18.01.2016;2.7
19.01.2016;0.7
20.01.2016;0.0
21.01.2016;0.3
22.01.2016;0.0
23.01.2016;0.1
24.01.2016;10.0
25.01.2016;0.5
26.01.2016;14.0
27.01.2016;3.7
28.01.2016;7.3
29.01.2016;1.9
30.01.2016;1.3
31.01.2016;0.0
01.02.2016;0.0
02.02.2016;8.2
03.02.2016;4.9
04.02.2016;0.3
05.02.2016;0.0
06.02.2016;4.6
07.02.2016;2.1
08.02.2016;4.1
09.02.2016;6.1
10.02.2016;10.7
11.02.2016;12.3
12.02.2016;8.2
13.02.2016;3.1
14.02.2016;7.2
15.02.2016;0.3
16.02.2016;0.0
17.02.2016;0.0
18.02.2016;2.1
19.02.2016;1.2
20.02.2016;9.8
21.02.2016;5.4
22.02.2016;1.5
23.02.2016;0.0
24.02.2016;0.0
25.02.2016;0.0
26.02.2016;2.2
27.02.2016;0.0
28.02.2016;0.0
29.02.2016;0.0
01.03.2016;0.0
02.03.2016;0.0
03.03.2016;0.0
04.03.2016;0.0
05.03.2016;0.1
06.03.2016;0.7
07.03.2016;4.7
08.03.2016;0.3
09.03.2016;2.9
10.03.2016;0.0
11.03.2016;0.0
12.03.2016;0.0
13.03.2016;0.0
14.03.2016;0.0
15.03.2016;0.0
16.03.2016;0.0
17.03.2016;0.7
18.03.2016;3.2
19.03.2016;0.0
20.03.2016;0.0
21.03.2016;0.2
22.03.2016;0.0
23.03.2016;0.0
24.03.2016;0.0
25.03.2016;0.3
26.03.2016;0.2
27.03.2016;0.0
28.03.2016;0.0
29.03.2016;0.0
30.03.2016;0.0
31.03.2016;0.0
01.04.2016;0.0
02.04.2016;0.0
03.04.2016;4.7
04.04.2016;0.0
05.04.2016;0.8
06.04.2016;5.1
07.04.2016;0.8
08.04.2016;0.3
09.04.2016;0.5
10.04.2016;0.0
11.04.2016;0.0
12.04.2016;0.0
13.04.2016;0.0
14.04.2016;0.0
15.04.2016;0.0
16.04.2016;0.0
17.04.2016;3.3
18.04.2016;1.2
19.04.2016;2.7
20.04.2016;2.1
21.04.2016;0.0
22.04.2016;4.8
23.04.2016;1.5
24.04.2016;9.1
25.04.2016;7.1
26.04.2016;15.2
27.04.2016;1.8
28.04.2016;10.9
29.04.2016;0.8
30.04.2016;0.0
01.05.2016;0.0
02.05.2016;0.0
03.05.2016;0.0
04.05.2016;0.0
05.05.2016;0.0
06.05.2016;0.0
07.05.2016;0.0
08.05.2016;0.0
09.05.2016;0.0
10.05.2016;0.0
11.05.2016;0.8
12.05.2016;0.0
13.05.2016;0.0
14.05.2016;2.8
15.05.2016;3.1
16.05.2016;1.7
17.05.2016;0.0
18.05.2016;0.0
19.05.2016;0.0
20.05.2016;0.0
21.05.2016;0.0
22.05.2016;0.0
23.05.2016;0.0
24.05.2016;0.0
25.05.2016;0.0
26.05.2016;0.0
27.05.2016;0.0
28.05.2016;0.0
29.05.2016;0.0
30.05.2016;0.0
31.05.2016;0.0
01.06.2016;0.0
02.06.2016;13.4
03.06.2016;0.0
04.06.2016;0.0
05.06.2016;0.3
06.06.2016;0.0
07.06.2016;0.0
08.06.2016;8.6
09.06.2016;0.0
10.06.2016;0.5
11.06.2016;0.0
12.06.2016;0.0
13.06.2016;0.0
14.06.2016;0.0
15.06.2016;0.0
16.06.2016;53.0
17.06.2016;8.3
18.06.2016;36.7
19.06.2016;3.0
20.06.2016;0.0
21.06.2016;0.0
22.06.2016;0.0
23.06.2016;1.1
24.06.2016;0.3
25.06.2016;0.0
26.06.2016;0.0
27.06.2016;15.9
28.06.2016;0.0
29.06.2016;0.0
30.06.2016;0.2
01.07.2016;0.0
02.07.2016;5.7
03.07.2016;6.7
04.07.2016;12.3
05.07.2016;1.5
06.07.2016;0.0
07.07.2016;6.2
08.07.2016;0.0
09.07.2016;0.0
10.07.2016;1.3
11.07.2016;3.6
12.07.2016;0.9
13.07.2016;0.0
14.07.2016;0.0
15.07.2016;17.6
16.07.2016;0.0
17.07.2016;0.0
18.07.2016;0.1
19.07.2016;0.0
20.07.2016;0.0
21.07.2016;0.1
22.07.2016;0.0
23.07.2016;0.2
24.07.2016;0.0
25.07.2016;0.0
26.07.2016;0.0
27.07.2016;0.0
28.07.2016;0.7
29.07.2016;1.4
30.07.2016;0.0
31.07.2016;1.3
01.08.2016;0.0
02.08.2016;0.1
03.08.2016;0.1
04.08.2016;6.0
05.08.2016;0.0
06.08.2016;4.8
07.08.2016;0.0
08.08.2016;0.0
09.08.2016;1.7
10.08.2016;2.5
11.08.2016;1.9
12.08.2016;0.4
13.08.2016;3.0
14.08.2016;9.5
15.08.2016;0.0
16.08.2016;2.8
17.08.2016;3.7
18.08.2016;2.7
19.08.2016;1.4
20.08.2016;0.0
21.08.2016;0.1
22.08.2016;1.2
23.08.2016;0.0
24.08.2016;0.0
25.08.2016;0.0
26.08.2016;5.8
27.08.2016;0.0
28.08.2016;0.0
29.08.2016;11.6
30.08.2016;1.4
31.08.2016;0.0
01.09.2016;0.0
02.09.2016;0.0
03.09.2016;29.0
04.09.2016;9.6
05.09.2016;0.0
06.09.2016;0.0
07.09.2016;0.0
08.09.2016;0.0
09.09.2016;0.0
10.09.2016;0.0
11.09.2016;0.0
12.09.2016;0.0
13.09.2016;0.0
14.09.2016;0.0
15.09.2016;0.0
16.09.2016;0.0
17.09.2016;0.0
18.09.2016;0.0
19.09.2016;0.0
20.09.2016;0.0
21.09.2016;0.0
22.09.2016;0.0
23.09.2016;0.0
24.09.2016;0.0
25.09.2016;0.0
26.09.2016;0.0
27.09.2016;0.0
28.09.2016;5.3
29.09.2016;5.9
30.09.2016;0.5
01.10.2016;0.0
02.10.2016;0.0
03.10.2016;0.0
04.10.2016;0.0
05.10.2016;0.0
06.10.2016;0.0
07.10.2016;0.0
08.10.2016;0.0
09.10.2016;0.5
10.10.2016;0.0
11.10.2016;0.0
12.10.2016;0.0
13.10.2016;0.0
14.10.2016;0.0
15.10.2016;0.7
16.10.2016;0.0
17.10.2016;0.0
