Pvm;Sademäärä;Mustikkamaa;Kauppatori;Hakaniemi
01.01.2016;0.0;443;0;0
02.01.2016;0.0;363;0;0
03.01.2016;1.9;327;0;0
04.01.2016;0.6;170;0;0
05.01.2016;0.6;118;0;0
06.01.2016;0.0;88;0;0
07.01.2016;0.0;48;0;0
08.01.2016;0.4;48;0;0
09.01.2016;0.7;106;0;0
10.01.2016;0.8;162;0;0
11.01.2016;0.1;25;0;0
12.01.2016;13.2;12;0;0
13.01.2016;1.5;46;0;0
14.01.2016;0.5;43;0;0
15.01.2016;0.2;30;0;0
16.01.2016;0.0;84;0;0
17.01.2016;0.2;129;0;0
18.01.2016;2.7;29;0;0
19.01.2016;0.7;35;0;0
20.01.2016;0.0;27;0;0
21.01.2016;0.3;25;0;0
22.01.2016;0.0;20;0;0
23.01.2016;0.1;226;0;0
24.01.2016;10.0;146;0;0
25.01.2016;0.5;45;0;0
26.01.2016;14.0;30;0;0
27.01.2016;3.7;32;0;0
28.01.2016;7.3;31;0;0
29.01.2016;1.9;56;0;0
30.01.2016;1.3;289;0;0
31.01.2016;0.0;320;0;0
01.02.2016;0.0;82;0;0
02.02.2016;8.2;41;0;0
03.02.2016;4.9;132;0;0
04.02.2016;0.3;113;0;0
05.02.2016;0.0;59;0;0
06.02.2016;4.6;362;0;0
07.02.2016;2.1;205;0;0
08.02.2016;4.1;52;0;0
09.02.2016;6.1;67;0;0
10.02.2016;10.7;22;0;0
11.02.2016;12.3;54;0;0
12.02.2016;8.2;71;0;0
13.02.2016;3.1;447;0;0
14.02.2016;7.2;349;0;0
15.02.2016;0.3;106;0;0
16.02.2016;0.0;205;0;0
17.02.2016;0.0;98;0;0
18.02.2016;2.1;143;0;0
19.02.2016;1.2;258;0;0
20.02.2016;9.8;223;0;0
21.02.2016;5.4;172;0;0
22.02.2016;1.5;377;0;0
23.02.2016;0.0;582;0;0
24.02.2016;0.0;631;0;0
25.02.2016;0.0;774;0;0
26.02.2016;2.2;601;0;0
27.02.2016;0.0;910;0;0
28.02.2016;0.0;1055;0;0
29.02.2016;0.0;229;0;0
01.03.2016;0.0;377;0;0
02.03.2016;0.0;313;0;0
03.03.2016;0.0;233;0;0
04.03.2016;0.0;210;0;0
05.03.2016;0.1;536;0;0
06.03.2016;0.7;546;0;0
07.03.2016;4.7;366;0;0
08.03.2016;0.3;220;0;0
09.03.2016;2.9;234;0;0
10.03.2016;0.0;295;0;0
11.03.2016;0.0;329;0;0
12.03.2016;0.0;1179;0;0
13.03.2016;0.0;910;0;0
14.03.2016;0.0;172;0;0
15.03.2016;0.0;246;0;0
16.03.2016;0.0;408;0;0
17.03.2016;0.7;215;0;0
18.03.2016;3.2;281;0;0
19.03.2016;0.0;489;0;0
20.03.2016;0.0;422;0;0
21.03.2016;0.2;108;0;0
22.03.2016;0.0;167;0;0
23.03.2016;0.0;146;0;0
24.03.2016;0.0;198;0;0
25.03.2016;0.3;1522;0;0
26.03.2016;0.2;1303;0;0
27.03.2016;0.0;2597;0;0
28.03.2016;0.0;3419;0;0
29.03.2016;0.0;289;0;0
30.03.2016;0.0;166;0;0
31.03.2016;0.0;212;0;0
01.04.2016;0.0;226;0;0
02.04.2016;0.0;1651;0;0
03.04.2016;4.7;270;0;0
04.04.2016;0.0;255;0;0
05.04.2016;0.8;244;0;0
06.04.2016;5.1;372;0;0
07.04.2016;0.8;216;0;0
08.04.2016;0.3;330;0;0
09.04.2016;0.5;906;0;0
10.04.2016;0.0;1702;0;0
11.04.2016;0.0;302;0;0
12.04.2016;0.0;341;0;0
13.04.2016;0.0;423;0;0
14.04.2016;0.0;365;0;0
15.04.2016;0.0;498;0;0
16.04.2016;0.0;1879;0;0
17.04.2016;3.3;238;0;0
18.04.2016;1.2;221;0;0
19.04.2016;2.7;257;0;0
20.04.2016;2.1;252;0;0
21.04.2016;0.0;407;0;0
22.04.2016;4.8;352;0;0
23.04.2016;1.5;984;0;0
24.04.2016;9.1;807;0;0
25.04.2016;7.1;176;0;0
26.04.2016;15.2;383;0;0
27.04.2016;1.8;380;0;0
28.04.2016;10.9;389;0;0
29.04.2016;0.8;467;0;0
30.04.2016;0.0;1136;0;0
01.05.2016;0.0;2065;281;0
02.05.2016;0.0;638;204;0
03.05.2016;0.0;634;117;0
04.05.2016;0.0;627;165;0
05.05.2016;0.0;3809;582;0
06.05.2016;0.0;2369;509;0
07.05.2016;0.0;2747;592;0
08.05.2016;0.0;2651;429;0
09.05.2016;0.0;538;124;0
10.05.2016;0.0;825;375;0
11.05.2016;0.8;846;128;0
12.05.2016;0.0;1080;163;0
13.05.2016;0.0;898;145;0
14.05.2016;2.8;728;110;0
15.05.2016;3.1;1113;116;0
16.05.2016;1.7;727;79;0
17.05.2016;0.0;1269;401;0
18.05.2016;0.0;1267;246;0
19.05.2016;0.0;1281;293;0
20.05.2016;0.0;1261;277;0
21.05.2016;0.0;2479;523;0
22.05.2016;0.0;2382;437;0
23.05.2016;0.0;1244;369;0
24.05.2016;0.0;2302;483;0
25.05.2016;0.0;1898;309;0
26.05.2016;0.0;1562;366;0
27.05.2016;0.0;1501;358;0
28.05.2016;0.0;2743;565;0
29.05.2016;0.0;2418;367;0
30.05.2016;0.0;1392;421;0
31.05.2016;0.0;1987;537;0
01.06.2016;0.0;2583;479;219
02.06.2016;13.4;2279;342;76
03.06.2016;0.0;1425;408;0
04.06.2016;0.0;2927;715;0
05.06.2016;0.3;2256;444;0
06.06.2016;0.0;1463;341;0
07.06.2016;0.0;2388;756;0
08.06.2016;8.6;783;143;0
09.06.2016;0.0;1612;214;0
10.06.2016;0.5;1237;340;0
11.06.2016;0.0;3057;923;0
12.06.2016;0.0;2680;635;0
